2025-03-22 20:37:37 - Jugador conectado: first, total: 1
2025-03-22 20:37:39 - Jugador conectado: second, total: 2
2025-03-22 20:37:43 - Mensaje recibido: {'move': -1, 'timestamp': 1742675862075}
2025-03-22 20:37:43 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:43 - Mensaje recibido: {'move': 0, 'timestamp': 1742675862337}
2025-03-22 20:37:43 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:43 - Mensaje recibido: {'move': 1, 'timestamp': 1742675862627}
2025-03-22 20:37:43 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:43 - Mensaje recibido: {'move': 0, 'timestamp': 1742675863029}
2025-03-22 20:37:43 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:43 - Mensaje recibido: {'move': 1, 'timestamp': 1742675863177}
2025-03-22 20:37:43 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:43 - Mensaje recibido: {'move': 0, 'timestamp': 1742675863318}
2025-03-22 20:37:43 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:43 - Mensaje recibido: {'move': 1, 'timestamp': 1742675863569}
2025-03-22 20:37:43 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:43 - Mensaje recibido: {'move': 0, 'timestamp': 1742675863703}
2025-03-22 20:37:43 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:43 - Mensaje recibido: {'move': 1, 'timestamp': 1742675863987}
2025-03-22 20:37:43 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:44 - Mensaje recibido: {'move': 0, 'timestamp': 1742675864205}
2025-03-22 20:37:44 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:44 - Mensaje recibido: {'move': -1, 'timestamp': 1742675864581}
2025-03-22 20:37:44 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': -1, 'timestamp': 1742675865096}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': -1, 'timestamp': 1742675865127}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': -1, 'timestamp': 1742675865159}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': -1, 'timestamp': 1742675865189}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': -1, 'timestamp': 1742675865220}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': -1, 'timestamp': 1742675865252}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': -1, 'timestamp': 1742675865285}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': -1, 'timestamp': 1742675865314}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': -1, 'timestamp': 1742675865346}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': -1, 'timestamp': 1742675865392}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': -1, 'timestamp': 1742675865428}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:45 - Mensaje recibido: {'move': 0, 'timestamp': 1742675865428}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:45 - Mensaje recibido: {'move': 1, 'timestamp': 1742675865629}
2025-03-22 20:37:45 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866135}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866166}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866196}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866243}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866275}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866306}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866340}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866368}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866400}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866431}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866463}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
